family,pair,classification,source_a,source_b,lexical_jaccard_resolved,review_signals,shared_exact_blocks,longest_shared_block_words,example_shared_block,example_element1,example_element2,raw_normalized_equal,resolved_legacy_normalized_equal,either_has_conref,resolved_surface_equal,resolved_structure_equal,inherited_context_difference
Summary,C–E,template_variant_candidate,en_EN/task/roe_rts/summary.dita,en_EN/task/roe_quit/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,C–G,template_variant_candidate,en_EN/task/roe_rts/summary.dita,en_EN/task/roe_retirement/summary.dita,0.902439,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,C–K,template_variant_candidate,en_EN/task/roe_rts/summary.dita,en_EN/task/roe_other/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,C–M,template_variant_candidate,en_EN/task/roe_rts/summary.dita,en_EN/task/roe_dismissal/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,C–N,template_variant_candidate,en_EN/task/roe_rts/summary.dita,en_EN/task/roe_loa/summary.dita,0.902439,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,C–F,template_variant_candidate,en_EN/task/roe_rts/summary.dita,en_EN/task/completing_roe_fishing_roe/summary.dita,0.804348,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,C–S,template_variant_candidate,en_EN/task/roe_rts/summary.dita,en_EN/task/completing_roe_strike_lockout/summary.dita,0.902439,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,E–G,template_variant_candidate,en_EN/task/roe_quit/summary.dita,en_EN/task/roe_retirement/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,E–K,template_variant_candidate,en_EN/task/roe_quit/summary.dita,en_EN/task/roe_other/summary.dita,0.948718,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,E–M,template_variant_candidate,en_EN/task/roe_quit/summary.dita,en_EN/task/roe_dismissal/summary.dita,0.948718,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,E–N,template_variant_candidate,en_EN/task/roe_quit/summary.dita,en_EN/task/roe_loa/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,E–F,template_variant_candidate,en_EN/task/roe_quit/summary.dita,en_EN/task/completing_roe_fishing_roe/summary.dita,0.822222,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,E–S,template_variant_candidate,en_EN/task/roe_quit/summary.dita,en_EN/task/completing_roe_strike_lockout/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,G–K,template_variant_candidate,en_EN/task/roe_retirement/summary.dita,en_EN/task/roe_other/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,G–M,template_variant_candidate,en_EN/task/roe_retirement/summary.dita,en_EN/task/roe_dismissal/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,G–N,template_variant_candidate,en_EN/task/roe_retirement/summary.dita,en_EN/task/roe_loa/summary.dita,0.902439,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,G–F,template_variant_candidate,en_EN/task/roe_retirement/summary.dita,en_EN/task/completing_roe_fishing_roe/summary.dita,0.804348,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,G–S,template_variant_candidate,en_EN/task/roe_retirement/summary.dita,en_EN/task/completing_roe_strike_lockout/summary.dita,0.902439,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,K–M,template_variant_candidate,en_EN/task/roe_other/summary.dita,en_EN/task/roe_dismissal/summary.dita,0.948718,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,K–N,template_variant_candidate,en_EN/task/roe_other/summary.dita,en_EN/task/roe_loa/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,K–F,template_variant_candidate,en_EN/task/roe_other/summary.dita,en_EN/task/completing_roe_fishing_roe/summary.dita,0.822222,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,K–S,template_variant_candidate,en_EN/task/roe_other/summary.dita,en_EN/task/completing_roe_strike_lockout/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,M–N,template_variant_candidate,en_EN/task/roe_dismissal/summary.dita,en_EN/task/roe_loa/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,M–F,template_variant_candidate,en_EN/task/roe_dismissal/summary.dita,en_EN/task/completing_roe_fishing_roe/summary.dita,0.822222,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,M–S,template_variant_candidate,en_EN/task/roe_dismissal/summary.dita,en_EN/task/completing_roe_strike_lockout/summary.dita,0.925,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,N–F,template_variant_candidate,en_EN/task/roe_loa/summary.dita,en_EN/task/completing_roe_fishing_roe/summary.dita,0.804348,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,N–S,template_variant_candidate,en_EN/task/roe_loa/summary.dita,en_EN/task/completing_roe_strike_lockout/summary.dita,0.902439,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
Summary,F–S,template_variant_candidate,en_EN/task/completing_roe_fishing_roe/summary.dita,en_EN/task/completing_roe_strike_lockout/summary.dita,0.804348,rfs_categories|inherited_context_difference,0,0,,,,False,False,False,False,False,True
What you need to know,C–E,heading_only,en_EN/task/roe_rts/what_you_need_to_know.dita,en_EN/task/roe_quit/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,C–G,heading_only,en_EN/task/roe_rts/what_you_need_to_know.dita,en_EN/task/roe_retirement/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,C–K,heading_only,en_EN/task/roe_rts/what_you_need_to_know.dita,en_EN/task/roe_other/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,C–M,heading_only,en_EN/task/roe_rts/what_you_need_to_know.dita,en_EN/task/roe_dismissal/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,C–N,heading_only,en_EN/task/roe_rts/what_you_need_to_know.dita,en_EN/task/roe_loa/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,C–F,heading_only,en_EN/task/roe_rts/what_you_need_to_know.dita,en_EN/task/completing_roe_fishing_roe/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,C–S,heading_only,en_EN/task/roe_rts/what_you_need_to_know.dita,en_EN/task/completing_roe_strike_lockout/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,E–G,heading_only,en_EN/task/roe_quit/what_you_need_to_know.dita,en_EN/task/roe_retirement/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,E–K,heading_only,en_EN/task/roe_quit/what_you_need_to_know.dita,en_EN/task/roe_other/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,E–M,heading_only,en_EN/task/roe_quit/what_you_need_to_know.dita,en_EN/task/roe_dismissal/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,E–N,heading_only,en_EN/task/roe_quit/what_you_need_to_know.dita,en_EN/task/roe_loa/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,E–F,heading_only,en_EN/task/roe_quit/what_you_need_to_know.dita,en_EN/task/completing_roe_fishing_roe/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,E–S,heading_only,en_EN/task/roe_quit/what_you_need_to_know.dita,en_EN/task/completing_roe_strike_lockout/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,G–K,heading_only,en_EN/task/roe_retirement/what_you_need_to_know.dita,en_EN/task/roe_other/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,G–M,heading_only,en_EN/task/roe_retirement/what_you_need_to_know.dita,en_EN/task/roe_dismissal/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,G–N,heading_only,en_EN/task/roe_retirement/what_you_need_to_know.dita,en_EN/task/roe_loa/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,G–F,heading_only,en_EN/task/roe_retirement/what_you_need_to_know.dita,en_EN/task/completing_roe_fishing_roe/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,G–S,heading_only,en_EN/task/roe_retirement/what_you_need_to_know.dita,en_EN/task/completing_roe_strike_lockout/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,K–M,heading_only,en_EN/task/roe_other/what_you_need_to_know.dita,en_EN/task/roe_dismissal/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,K–N,heading_only,en_EN/task/roe_other/what_you_need_to_know.dita,en_EN/task/roe_loa/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,K–F,heading_only,en_EN/task/roe_other/what_you_need_to_know.dita,en_EN/task/completing_roe_fishing_roe/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,K–S,heading_only,en_EN/task/roe_other/what_you_need_to_know.dita,en_EN/task/completing_roe_strike_lockout/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
What you need to know,M–N,heading_only,en_EN/task/roe_dismissal/what_you_need_to_know.dita,en_EN/task/roe_loa/what_you_need_to_know.dita,0.0,inherited_context_difference,0,0,,,,True,True,False,True,True,True
